state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,...20,2016 Margin,Total 2016 Votes
U.S. Total,D,Yes,81282916,74223369,2891441,51.3%,46.9%,1.8%,4.5%,2.4%,15.9%,NA,NA,NA,NA,NA,NA,NA,NA,0.02099455864,136639848
15 Key Battlegrounds,NA,NA,31908248,33002287,950354,48.4%,50.1%,1.4%,-1.7%,2.0%,17.2%,NA,NA,NA,NA,NA,NA,NA,NA,-0.03621953306,56209173
Non-Battlegrounds,NA,NA,49374668,41221082,1941087,53.4%,44.5%,2.1%,8.8%,2.7%,15.1%,NA,NA,NA,NA,NA,NA,NA,NA,0.06097843859,80430331
15 Key Battlegrounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,D,Yes,1672143,1661686,53497,49.4%,49.1%,1.6%,0.3%,3.9%,31.6%,AZ,11,2,2,4,205,374,NA,-0.03545594628,2573165
Florida,R,Yes,5297045,5668731,101680,47.9%,51.2%,0.9%,-3.4%,-2.2%,17.5%,FL,29,8,0,12,787,520,NA,-0.01198625611,9420039
Georgia,D,Yes,2473633,2461854,62229,49.5%,49.3%,1.2%,0.2%,5.4%,22.1%,GA,16,7,1,13,734,419,NA,-0.05131342697,4092373
Iowa,R,Yes,759061,897672,34138,44.9%,53.1%,2.0%,-8.2%,1.2%,8.0%,IA,6,5,4,19,536,223,NA,-0.09406838051,1566031
Maine 2nd District,R,Yes,168696,196692,10961,44.8%,52.3%,2.9%,-7.4%,2.8%,6.5%,ME2,1,12,8,102,919,92,NA,-0.10288159,353416
Michigan,D,Yes,2804040,2649852,85410,50.6%,47.8%,1.5%,2.8%,3.0%,15.4%,MI,16,7,5,26,681,190,NA,-0.002230332691,4799284
Minnesota,D,Yes,1717077,1484065,76029,52.4%,45.3%,2.3%,7.1%,5.6%,11.3%,MN,10,5,5,27,519,120,NA,0.0152013048,2944813
Nebraska 2nd District,D,Yes,176468,154377,6909,52.2%,45.7%,2.0%,6.5%,8.8%,15.8%,NE2,1,12,6,104,438,238,NA,-0.02240126166,291680
Nevada,D,Yes,703486,669890,32000,50.1%,47.7%,2.3%,2.4%,0.0%,24.9%,NV,6,2,4,32,136,240,NA,0.02417128361,1125385
New Hampshire,D,Yes,424921,365654,15607,52.7%,45.4%,1.9%,7.4%,7.0%,8.3%,NH,4,11,6,33,895,146,NA,0.003675956877,744158
North Carolina,R,Yes,2684292,2758775,81737,48.6%,49.9%,1.5%,-1.3%,2.3%,16.5%,NC,15,7,2,37,808,349,NA,-0.03655228528,4741564
Ohio,R,Yes,2679165,3154834,88203,45.2%,53.3%,1.5%,-8.0%,0.1%,7.7%,OH,18,7,4,39,720,250,NA,-0.08129574399,5496487
Pennsylvania,D,Yes,3458229,3377674,79380,50.0%,48.8%,1.1%,1.2%,1.9%,13.1%,PA,20,8,4,42,806,221,NA,-0.007183871226,6115402
Texas,R,Yes,5259126,5890347,165583,46.5%,52.1%,1.5%,-5.6%,3.4%,26.2%,TX,38,3,0,48,444,471,NA,-0.08999427598,8969226
Wisconsin,D,Yes,1630866,1610184,56991,49.4%,48.8%,1.7%,0.6%,1.4%,10.8%,WI,10,6,6,55,601,169,NA,-0.007643431951,2976150
Non-Battlegrounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,R,Yes,849624,1441170,32488,36.6%,62.0%,1.4%,-25.5%,2.3%,9.4%,AL,9,6,1,1,674,424,NA,-0.2772514661,2123372
Alaska,R,Yes,153778,189951,15801,42.8%,52.8%,4.4%,-10.1%,4.7%,12.8%,AK,3,0,6,2,105,512,NA,-0.1473064079,318608
Arkansas,R,Yes,423932,760647,34490,34.8%,62.4%,2.8%,-27.6%,-0.7%,7.8%,AR,6,5,2,5,564,386,NA,-0.2692097803,1130635
California,D,Yes,11110250,6006429,384192,63.5%,34.3%,2.2%,29.2%,-0.9%,23.4%,CA,55,1,3,6,75,283,NA,0.3010929307,14181595
Colorado,D,Yes,1804352,1364607,87993,55.4%,41.9%,2.7%,13.5%,8.6%,17.1%,CO,9,3,3,8,330,284,NA,0.04905535371,2780220
Connecticut,D,Yes,1080831,714717,28309,59.3%,39.2%,1.6%,20.1%,6.4%,10.9%,CT,7,10,4,9,886,190,NA,0.1363938672,1644920
Delaware,D,Yes,296268,200603,7475,58.7%,39.8%,1.5%,19.0%,7.6%,14.2%,DE,3,11,3,10,853,258,NA,0.1137323293,441590
District of Columbia,D,Yes,317323,18586,8447,92.1%,5.4%,2.5%,86.8%,0.0%,10.6%,DC,3,9,3,11,829,264,NA,0.8677634707,311268
Hawaii,D,Yes,366130,196864,11475,63.7%,34.3%,2.0%,29.5%,-2.7%,33.9%,HI,4,0,0,15,272,570,NA,0.3218281473,428937
Idaho,R,Yes,287021,554119,26091,33.1%,63.9%,3.0%,-30.8%,1.0%,25.6%,ID,4,2,5,16,195,148,NA,-0.3176941855,690255
Illinois,D,Yes,3471915,2446891,114938,57.5%,40.6%,1.9%,17.0%,-0.1%,9.0%,IL,20,6,5,17,614,264,NA,0.1706361362,5536424
Indiana,R,Yes,1242413,1729516,61183,41.0%,57.0%,2.0%,-16.1%,3.1%,10.9%,IN,11,6,4,18,669,264,NA,-0.1916519376,2734958
Kansas,R,Yes,570323,771406,30574,41.6%,56.2%,2.2%,-14.7%,5.9%,15.9%,KS,6,4,2,20,457,307,NA,-0.2060221107,1184402
Kentucky,R,Yes,772474,1326646,37648,36.2%,62.1%,1.8%,-25.9%,3.9%,11.1%,KY,8,6,3,21,706,314,NA,-0.2983745022,1924149
Louisiana,R,Yes,856034,1255776,36252,39.9%,58.5%,1.7%,-18.6%,1.0%,5.9%,LA,8,4,1,22,560,456,NA,-0.1963911856,2029032
Maine,D,Yes,435072,360737,23652,53.1%,44.0%,2.9%,9.1%,6.1%,9.6%,ME,2,11,7,23,919,92,NA,0.02960449349,747927
Maine 1st District,D,Yes,266376,164045,12691,60.1%,37.0%,2.9%,23.1%,8.3%,12.4%,ME1,1,12,9,101,919,92,NA,0.1480743237,394329
Maryland,D,Yes,1985023,976414,75593,65.4%,32.2%,2.5%,33.2%,6.8%,9.2%,MD,10,10,3,24,825,254,NA,0.2641643951,2781446
Massachusetts,D,Yes,2382202,1167202,81998,65.6%,32.1%,2.3%,33.5%,6.3%,9.2%,MA,11,10,5,25,895,169,NA,0.2719670645,3325046
Mississippi,R,Yes,539508,756789,17597,41.1%,57.6%,1.3%,-16.5%,1.3%,8.6%,MS,6,5,1,28,617,427,NA,-0.1782624982,1209357
Missouri,R,Yes,1253014,1718736,54212,41.4%,56.8%,1.8%,-15.4%,3.2%,7.7%,MO,10,5,3,29,557,305,NA,-0.18637117,2808605
Montana,R,Yes,244786,343602,15286,40.5%,56.9%,2.5%,-16.4%,4.1%,21.4%,MT,3,3,5,30,289,95,NA,-0.2042273211,497147
Nebraska,R,Yes,374583,556846,20283,39.4%,58.5%,2.1%,-19.2%,5.9%,12.7%,NE,2,4,3,31,438,238,NA,-0.2504859475,844289
Nebraska 1st District,R,Yes,132261,180290,7495,41.3%,56.3%,2.3%,-15.0%,5.7%,13.4%,NE1,1,12,7,103,438,238,NA,-0.2071984643,282338
Nebraska 3rd District,R,Yes,65854,222179,5879,22.4%,75.6%,2.0%,-53.2%,1.0%,8.8%,NE3,1,12,5,105,438,238,NA,-0.5418812405,270109
New Jersey,D,Yes,2608335,1883274,57744,57.3%,41.4%,1.3%,15.9%,1.8%,17.4%,NJ,14,9,4,34,865,231,NA,0.141026978,3874046
New Mexico,D,Yes,501614,401894,20457,54.3%,43.5%,2.2%,10.8%,2.6%,15.7%,NM,5,3,2,35,309,385,NA,0.08213132845,798318
New York,D,Yes,5244886,3251997,119978,60.9%,37.7%,1.4%,23.1%,0.6%,11.6%,NY,29,9,5,36,838,168,NA,0.2249045614,7721453
North Dakota,R,Yes,114902,235595,11322,31.8%,65.1%,3.1%,-33.4%,2.4%,5.1%,ND,3,4,5,38,426,97,NA,-0.3572888837,344360
Oklahoma,R,Yes,503890,1020280,36529,32.3%,65.4%,2.3%,-33.1%,3.3%,7.4%,OK,7,3,1,40,477,377,NA,-0.3639118454,1452992
Oregon,D,Yes,1340383,958448,75490,56.5%,40.4%,3.2%,16.1%,5.1%,18.6%,OR,7,1,4,41,97,134,NA,0.1097781682,2001336
Rhode Island,D,Yes,307486,199922,10349,59.4%,38.6%,2.0%,20.8%,5.3%,11.6%,RI,4,11,4,44,904,183,NA,0.1550854907,464144
South Carolina,R,Yes,1091541,1385103,36685,43.4%,55.1%,1.5%,-11.7%,2.6%,19.5%,SC,9,8,2,45,783,394,NA,-0.142659129,2103027
South Dakota,R,Yes,150471,261043,11095,35.6%,61.8%,2.6%,-26.2%,3.6%,14.2%,SD,3,4,4,46,430,168,NA,-0.2979332222,370093
Tennessee,R,Yes,1143711,1852475,57665,37.5%,60.7%,1.9%,-23.2%,2.8%,21.8%,TN,11,6,2,47,670,360,NA,-0.260057009,2508027
Utah,R,Yes,560282,865140,62867,37.6%,58.1%,4.2%,-20.5%,-2.4%,31.5%,UT,6,2,3,49,225,266,NA,-0.1807933323,1131430
Vermont,D,Yes,242820,112704,11904,66.1%,30.7%,3.2%,35.4%,9.0%,16.6%,VT,3,10,6,50,873,134,NA,0.2640835124,315067
Virginia,D,Yes,2413568,1962430,84526,54.1%,44.0%,1.9%,10.1%,4.8%,12.0%,VA,13,8,3,51,809,299,NA,0.05321195363,3982752
Washington,D,Yes,2369612,1584651,133368,58.0%,38.8%,3.3%,19.2%,3.5%,21.5%,WA,12,1,5,53,128,58,NA,0.1570599988,3365644
West Virginia,R,Yes,235984,545382,13286,29.7%,68.6%,1.7%,-38.9%,3.1%,11.4%,WV,5,7,3,54,765,284,NA,-0.4207269363,713051
Wyoming,R,Yes,73491,193559,9715,26.6%,69.9%,3.5%,-43.4%,2.9%,8.2%,WY,3,3,4,56,306,187,NA,-0.4629527573,255849
